date,time,current_value,change_amount,change_percent,day_low,day_high,week52_low,week52_high,previous_close,open_value
2025-02-06,09:30:00,5084.74,26.43,0.52,5048.81,5086.86,5048.81,5086.86,5058.3,5058.3
2025-02-06,09:35:00,5073.44,-14.17,-0.28,5070.99,5087.62,5048.81,5087.62,5084.74,5087.62
2025-02-06,09:40:00,5067.39,-6.79,-0.13,5059.39,5076.16,5048.81,5087.62,5073.44,5074.19
2025-02-06,09:45:00,5069.34,1.71,0.03,5059.89,5072.11,5048.81,5087.62,5067.39,5067.63
2025-02-06,09:50:00,5072.61,1.76,0.03,5064.81,5082.37,5048.81,5087.62,5069.34,5070.85
2025-02-06,09:55:00,5068.56,-4.23,-0.08,5065.86,5074.99,5048.81,5087.62,5072.61,5072.79
2025-02-06,10:00:00,5069.53,0.68,0.01,5060.18,5074.78,5048.81,5087.62,5068.56,5068.85
2025-02-06,10:05:00,5083.06,13.23,0.26,5068.68,5083.06,5048.81,5087.62,5069.53,5069.83
2025-02-06,10:10:00,5096.36,12.83,0.25,5080.88,5096.36,5048.81,5096.36,5083.06,5083.53
2025-02-06,10:15:00,5105.08,7.01,0.14,5098.07,5106.38,5048.81,5106.38,5096.36,5098.07
2025-02-06,10:20:00,5086.84,-17.91,-0.35,5085.69,5104.75,5048.81,5106.38,5105.08,5104.75
2025-02-06,10:25:00,5071.23,-15.56,-0.31,5071.12,5086.79,5048.81,5106.38,5086.84,5086.79
2025-02-06,10:30:00,5073.3,1.41,0.03,5064.57,5074.87,5048.81,5106.38,5071.23,5071.89
2025-02-06,10:35:00,5061.85,-11.55,-0.23,5061.85,5078.8,5048.81,5106.38,5073.3,5073.4
2025-02-06,10:40:00,5061.38,0.07,0.0,5059.86,5073.88,5048.81,5106.38,5061.85,5061.31
2025-02-06,10:45:00,5050.38,-11.09,-0.22,5046.55,5061.47,5046.55,5106.38,5061.38,5061.47
2025-02-06,10:50:00,5060.19,10.15,0.2,5050.04,5060.24,5046.55,5106.38,5050.38,5050.04
2025-02-06,10:55:00,5060.9,-0.26,-0.01,5056.45,5061.65,5046.55,5106.38,5060.19,5061.16
